Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Budget),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Gọi API update và refresh cart UI,TEC-53,10279,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,17/Mar/26 11:17 PM,,17/Mar/26 11:17 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1fc769ee,,,,,,,,,,,,,,,,,,,,0|i000b7:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_9036_*|*_10047_*:*_1_*:*_0,10187,TEC-18,Thêm vào giỏ hàng,Done,17/Mar/26 11:17 PM
FE,TEC-54,10281,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,17/Mar/26 11:16 PM,,17/Mar/26 11:16 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a2f0585,,,,,,,,,,,,,,,,,,,,0|i000bf:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_7843_*|*_10047_*:*_1_*:*_0,10187,TEC-18,Thêm vào giỏ hàng,Done,17/Mar/26 11:16 PM
BE,TEC-55,10283,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,15/Mar/26 9:10 PM,17/Mar/26 11:16 PM,,15/Mar/26 9:10 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2095a22b,,,,,,,,,,,,,,,,,,,,0|i000bn:,,,,,,,,,TEC Sprint 1: Core Features,,,,,,,,,,,,,,,,10046_*:*_1_*:*_7441_*|*_10048_*:*_1_*:*_0,10187,TEC-18,Thêm vào giỏ hàng,Done,15/Mar/26 9:10 PM
Coupon,TEC-58,10317,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:35 PM,12/Apr/26 2:57 PM,12/Apr/26 2:57 PM,10/Apr/26 8:46 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@8e69e30,,,,,,,,,,,,,,,,,,,,0|i000bv:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_686354_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:46 PM
Review sản phẩm,TEC-59,10318,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:35 PM,10/Apr/26 8:47 PM,10/Apr/26 8:37 PM,10/Apr/26 8:47 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53541fbe,,,,,,,,,,,,,,,,,,,,0|i000c3:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_682077_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:47 PM
Apply coupon khi checkout,TEC-60,10320,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:36 PM,10/Apr/26 8:42 PM,10/Apr/26 8:48 PM,10/Apr/26 8:42 PM,,0,"*As a* user
*I want* nhập mã giảm giá
*So that* giảm giá đơn hàng",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14015e41,,,,,,,,,,,,,,,,,,,,0|i000cb:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_374645_*|*_10047_*:*_1_*:*_0,10317,TEC-58,Coupon,Done,10/Apr/26 8:42 PM
Admin quản lý coupon,TEC-62,10324,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:36 PM,10/Apr/26 8:42 PM,10/Apr/26 8:58 PM,10/Apr/26 8:42 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3db9a052,,,,,,,,,,,,,,,,,,,,0|i000cb:i,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_360466_*|*_10047_*:*_1_*:*_0,10317,TEC-58,Coupon,Done,10/Apr/26 8:42 PM
Autocomplete địa chỉ,TEC-66,10331,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:41 PM,10/Apr/26 8:47 PM,10/Apr/26 8:59 PM,10/Apr/26 8:42 PM,,0,"*As a* user
*I want* nhập địa chỉ có gợi ý
*So that* nhập nhanh và chính xác",,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@764c2a25,,,,,,,,,,,,,,,,,,,,0|i000cc:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_44447_*|*_10047_*:*_1_*:*_0,10329,TEC-65,Checkout,Done,10/Apr/26 8:42 PM
Tính phí ship,TEC-67,10333,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:41 PM,10/Apr/26 8:42 PM,,10/Apr/26 8:42 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4471392e,,,,,,,,,,,,,,,,,,,,0|i000cd:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_37023_*|*_10047_*:*_1_*:*_0,10329,TEC-65,Checkout,Done,10/Apr/26 8:42 PM
User tạo review,TEC-63,10326,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:37 PM,10/Apr/26 8:42 PM,10/Apr/26 9:00 PM,10/Apr/26 8:42 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@17e7e504,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_294890_*|*_10047_*:*_1_*:*_0,10318,TEC-59,Review sản phẩm,Done,10/Apr/26 8:42 PM
Hiển thị review,TEC-64,10328,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:37 PM,10/Apr/26 8:42 PM,10/Apr/26 8:59 PM,10/Apr/26 8:42 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3bc31495,,,,,,,,,,,,,,,,,,,,0|i000ch:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_288388_*|*_10047_*:*_1_*:*_0,10318,TEC-59,Review sản phẩm,Done,10/Apr/26 8:42 PM
Track usage coupon,TEC-61,10322,Task,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:36 PM,10/Apr/26 8:42 PM,10/Apr/26 8:59 PM,10/Apr/26 8:42 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@103c3ede,,,,,,,,,,,,,,,,,,,,0|i000cj:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_363437_*|*_10047_*:*_1_*:*_0,10317,TEC-58,Coupon,Done,10/Apr/26 8:42 PM
Checkout,TEC-65,10329,Epic,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:39 PM,10/Apr/26 8:47 PM,10/Apr/26 9:01 PM,10/Apr/26 8:47 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@186a0a49,,,,,,,,,,,,,purple,,,,,,,0|i000df:,,,,,,,,,,,,,,,,,,,,,,,,,10046_*:*_1_*:*_435358_*|*_10048_*:*_1_*:*_0,,,,Done,10/Apr/26 8:47 PM
Integration: gọi API khi user nhập,TEC-68,10335,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:47 PM,10/Apr/26 8:59 PM,10/Apr/26 8:59 PM,10/Apr/26 8:47 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@547c67a0,,,,,,,,,,,,,,,,,,,,0|i000dn:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_9230_*|*_10048_*:*_1_*:*_0,10331,TEC-66,Autocomplete địa chỉ,Done,10/Apr/26 8:47 PM
FE: Input + dropdown suggestion,TEC-69,10337,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:47 PM,10/Apr/26 8:59 PM,,10/Apr/26 8:48 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ae1382,,,,,,,,,,,,,,,,,,,,0|i000dv:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_8018_*|*_10048_*:*_1_*:*_0,10331,TEC-66,Autocomplete địa chỉ,Done,10/Apr/26 8:48 PM
BE: Validate coupon + tính discount,TEC-70,10339,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:57 PM,10/Apr/26 8:57 PM,,10/Apr/26 8:57 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@64742b8,,,,,,,,,,,,,,,,,,,,0|i000e3:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_21931_*|*_10048_*:*_1_*:*_0,10320,TEC-60,Apply coupon khi checkout,Done,10/Apr/26 8:57 PM
FE: UI nhập mã + hiển thị discount,TEC-71,10341,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:57 PM,10/Apr/26 8:58 PM,,10/Apr/26 8:58 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@21d06849,,,,,,,,,,,,,,,,,,,,0|i000eb:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_16795_*|*_10048_*:*_1_*:*_0,10320,TEC-60,Apply coupon khi checkout,Done,10/Apr/26 8:58 PM
Integration: gọi API apply coupon + update total,TEC-72,10343,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:57 PM,10/Apr/26 8:58 PM,,10/Apr/26 8:58 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14ac5a89,,,,,,,,,,,,,,,,,,,,0|i000ej:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_12966_*|*_10048_*:*_1_*:*_0,10320,TEC-60,Apply coupon khi checkout,Done,10/Apr/26 8:58 PM
BE: API create/update/delete coupon,TEC-73,10345,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:58 PM,10/Apr/26 8:58 PM,,10/Apr/26 8:58 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a3d6ead,,,,,,,,,,,,,,,,,,,,0|i000er:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_19164_*|*_10048_*:*_1_*:*_0,10324,TEC-62,Admin quản lý coupon,Done,10/Apr/26 8:58 PM
FE: Form quản lý coupon (admin UI),TEC-74,10347,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:58 PM,10/Apr/26 8:58 PM,,10/Apr/26 8:58 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@799fd4e9,,,,,,,,,,,,,,,,,,,,0|i000ez:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_14983_*|*_10048_*:*_1_*:*_0,10324,TEC-62,Admin quản lý coupon,Done,10/Apr/26 8:58 PM
Integration: submit form + reload list,TEC-75,10349,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:58 PM,10/Apr/26 8:58 PM,,10/Apr/26 8:58 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3e8b90b0,,,,,,,,,,,,,,,,,,,,0|i000f7:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_11925_*|*_10048_*:*_1_*:*_0,10324,TEC-62,Admin quản lý coupon,Done,10/Apr/26 8:58 PM
BE: Lưu coupon_usages + update used_count,TEC-76,10351,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:59 PM,10/Apr/26 8:59 PM,,10/Apr/26 8:59 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@360b1200,,,,,,,,,,,,,,,,,,,,0|i000ff:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_19750_*|*_10048_*:*_1_*:*_0,10322,TEC-61,Track usage coupon,Done,10/Apr/26 8:59 PM
FE: Hiển thị trạng thái mã (valid/invalid),TEC-77,10353,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:59 PM,10/Apr/26 8:59 PM,,10/Apr/26 8:59 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3296f4c8,,,,,,,,,,,,,,,,,,,,0|i000fn:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_16005_*|*_10048_*:*_1_*:*_0,10322,TEC-61,Track usage coupon,Done,10/Apr/26 8:59 PM
"Integration: handle error response (expired, hết lượt)",TEC-78,10355,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 8:59 PM,10/Apr/26 8:59 PM,,10/Apr/26 8:59 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@518a779d,,,,,,,,,,,,,,,,,,,,0|i000fv:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_13810_*|*_10048_*:*_1_*:*_0,10322,TEC-61,Track usage coupon,Done,10/Apr/26 8:59 PM
BE: Check user mua + lưu review,TEC-79,10357,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,dangtrungkien040804,712020:3fca45f9-33ae-49a6-999a-a94f363ec5be,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 9:00 PM,10/Apr/26 9:00 PM,,10/Apr/26 9:00 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c5f7eef,,,,,,,,,,,,,,,,,,,,0|i000g3:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_18831_*|*_10048_*:*_1_*:*_0,10326,TEC-63,User tạo review,Done,10/Apr/26 9:00 PM
FE: Form nhập rating + comment,TEC-80,10359,Subtask,Done,TEC,TechGadget E-commerce,software,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,Medium,Done,Lê Quang Huy,712020:dd3b3a09-10d8-47f9-a3e6-4d143d9a06db,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,10/Apr/26 9:00 PM,10/Apr/26 9:00 PM,,10/Apr/26 9:00 PM,,0,,,VŨ ĐẶNG,712020:00595771-ccd0-4354-a581-4aa70b2e347b,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@264789a9,,,,,,,,,,,,,,,,,,,,0|i000gb:,,,,,,,,,TEC Sprint 2:Advanced Featur 2,,,,,,,,,,,,,,,,10046_*:*_1_*:*_16183_*|*_10048_*:*_1_*:*_0,10326,TEC-63,User tạo review,Done,10/Apr/26 9:00 PM
